110;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1;0;0;0;0

106;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-1;0;0;0;0

100.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1;0;0;0;0

96;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;+1;0;0;0;0

101.53;5.53;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;+1;0;0;0;0

104.25;2.72;5.53;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;+1;0;0;0;0

106.75;2.50;2.72;5.53;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;-1;0;0;0;0

104.61;-2.14;2.50;2.72;5.53;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;+1;0;0;0;0

107.5;2.89;-2.14;2.50;2.72;5.53;-4.99;-5.01;-4.00;0.00;-4.00;-4.10;-1.87;-5.03;5.20;1.80;5.00;-6.99;4.99;8.11;3.89;-4.00;0.00;-9.00;-1.00;-1.40;-3.60;-5.00;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;+1;0;0;0;0

